listing_id,price,nbhood_full,formatted_price,formatted_borough,formatted_nbhood,
20333471,0 dollars,"Bronx, East Morrisania",$0.00,Bronx, East Morrisania,
20523843,0 dollars,"Brooklyn, Bushwick",$0.00,Brooklyn, Bushwick,
20639628,0 dollars,"Brooklyn, Bedford-Stuyvesant",$0.00,Brooklyn, Bedford-Stuyvesant,
20639792,0 dollars,"Brooklyn, Bedford-Stuyvesant",$0.00,Brooklyn, Bedford-Stuyvesant,
20639914,0 dollars,"Brooklyn, Bedford-Stuyvesant",$0.00,Brooklyn, Bedford-Stuyvesant,
21291569,0 dollars,"Brooklyn, Bushwick",$0.00,Brooklyn, Bushwick,
21304320,0 dollars,"Brooklyn, Bushwick",$0.00,Brooklyn, Bushwick,
18490141,10 dollars,"Queens, Jamaica",$10.00,Queens, Jamaica,
21869057,10 dollars,"Brooklyn, Greenpoint",$10.00,Brooklyn, Greenpoint,
24412104,10 dollars,"Manhattan, Kips Bay",$10.00,Manhattan, Kips Bay,
26235873,10 dollars,"Queens, Jamaica",$10.00,Queens, Jamaica,
28270998,10 dollars,"Brooklyn, Bedford-Stuyvesant",$10.00,Brooklyn, Bedford-Stuyvesant,
35642891,10 dollars,"Brooklyn, Bushwick",$10.00,Brooklyn, Bushwick,
16620607,11 dollars,"Brooklyn, Bushwick",$11.00,Brooklyn, Bushwick,
21893604,12 dollars,"Manhattan, Chelsea",$12.00,Manhattan, Chelsea,
34870577,13 dollars,"Staten Island, Randall Manor",$13.00,Staten Island, Randall Manor,
26443106,15 dollars,"Queens, Elmhurst",$15.00,Queens, Elmhurst,
3258197,16 dollars,"Manhattan, Upper East Side",$16.00,Manhattan, Upper East Side,
6364324,16 dollars,"Manhattan, Harlem",$16.00,Manhattan, Harlem,
30353302,16 dollars,"Queens, East Elmhurst",$16.00,Queens, East Elmhurst,
36280646,16 dollars,"Queens, Forest Hills",$16.00,Queens, Forest Hills,
34228341,18 dollars,"Brooklyn, Bay Ridge",$18.00,Brooklyn, Bay Ridge,
15966074,19 dollars,"Brooklyn, Cypress Hills",$19.00,Brooklyn, Cypress Hills,
22235441,19 dollars,"Queens, Jamaica",$19.00,Queens, Jamaica,
30489379,19 dollars,"Brooklyn, Bedford-Stuyvesant",$19.00,Brooklyn, Bedford-Stuyvesant,
31341476,19 dollars,"Queens, Elmhurst",$19.00,Queens, Elmhurst,
375249,20 dollars,"Staten Island, Graniteville",$20.00,Staten Island, Graniteville,
9238515,20 dollars,"Queens, Flushing",$20.00,Queens, Flushing,
17475107,20 dollars,"Bronx, Schuylerville",$20.00,Bronx, Schuylerville,
21935569,20 dollars,"Manhattan, Washington Heights",$20.00,Manhattan, Washington Heights,
29489893,20 dollars,"Queens, Jamaica",$20.00,Queens, Jamaica,
29690801,20 dollars,"Brooklyn, Borough Park",$20.00,Brooklyn, Borough Park,
30942778,20 dollars,"Bronx, Van Nest",$20.00,Bronx, Van Nest,
31032487,20 dollars,"Bronx, Van Nest",$20.00,Bronx, Van Nest,
31053045,20 dollars,"Bronx, Van Nest",$20.00,Bronx, Van Nest,
31181911,20 dollars,"Brooklyn, Bedford-Stuyvesant",$20.00,Brooklyn, Bedford-Stuyvesant,
31194144,20 dollars,"Brooklyn, Bedford-Stuyvesant",$20.00,Brooklyn, Bedford-Stuyvesant,
31691209,20 dollars,"Brooklyn, Gravesend",$20.00,Brooklyn, Gravesend,
31930706,20 dollars,"Brooklyn, Gravesend",$20.00,Brooklyn, Gravesend,
34601569,20 dollars,"Brooklyn, Sheepshead Bay",$20.00,Brooklyn, Sheepshead Bay,
35606165,20 dollars,"Brooklyn, Fort Hamilton",$20.00,Brooklyn, Fort Hamilton,
24207804,21 dollars,"Queens, Elmhurst",$21.00,Queens, Elmhurst,
26753081,21 dollars,"Brooklyn, Bedford-Stuyvesant",$21.00,Brooklyn, Bedford-Stuyvesant,
33002617,21 dollars,"Brooklyn, Sheepshead Bay",$21.00,Brooklyn, Sheepshead Bay,
7760204,22 dollars,"Manhattan, Inwood",$22.00,Manhattan, Inwood,
16015571,22 dollars,"Brooklyn, Flatlands",$22.00,Brooklyn, Flatlands,
17738717,22 dollars,"Queens, Rosedale",$22.00,Queens, Rosedale,
22103438,22 dollars,"Brooklyn, Flatbush",$22.00,Brooklyn, Flatbush,
22683799,22 dollars,"Brooklyn, Prospect-Lefferts Gardens",$22.00,Brooklyn, Prospect-Lefferts Gardens,
27083575,22 dollars,"Staten Island, Randall Manor",$22.00,Staten Island, Randall Manor,
30999358,22 dollars,"Brooklyn, Sunset Park",$22.00,Brooklyn, Sunset Park,
35069663,22 dollars,"Bronx, Fordham",$22.00,Bronx, Fordham,
