listing_id,description,room_type,formatted_description,formatted_room_type
2595,Skylit Midtown Castle,Entire home/apt,Skylit Midtown Castle,entire home/apt
3831,Cozy Entire Floor of Brownstone,Entire home/apt,Cozy Entire Floor of Brownstone,entire home/apt
5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,Large Cozy 1 BR Apartment In Midtown East,entire home/apt
5178,Large Furnished Room Near B'way,private room,Large Furnished Room Near B'way,private room
5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5295,Beautiful 1br on Upper West Side,Entire home/apt,Beautiful 1br on Upper West Side,entire home/apt
5441,Central Manhattan/near Broadway,Private room,Central Manhattan/near Broadway,private room
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,"Lovely Room 1, Garden, Best Area, Legal rental",private room
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,Wonderful Guest Bedroom in Manhattan for SINGLES,private room
6848,Only 2 stops to Manhattan studio,entire home/apt,Only 2 stops to Manhattan studio,entire home/apt
7097,Perfect for Your Parents + Garden,Entire home/apt,Perfect for Your Parents + Garden,entire home/apt
7322,Chelsea Perfect,Private room,Chelsea Perfect,private room
7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,Hip Historic Brownstone Apartment with Backyard,entire home/apt
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,PRIVATE ROOM,CBG CtyBGd HelpsHaiti rm#1:1-4,private room
8025,CBG Helps Haiti Room#2.5,PRIVATE ROOM,CBG Helps Haiti Room#2.5,private room
8110,CBG Helps Haiti Rm #2,Private room,CBG Helps Haiti Rm #2,private room
8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,"MAISON DES SIRENES1,bohemian apartment",entire home/apt
8505,Sunny Bedroom Across Prospect Park,Private room,Sunny Bedroom Across Prospect Park,private room
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",PRIVATE ROOM,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private room
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,front room/double bed,PRIVATE ROOM,front room/double bed,private room
9704,Spacious 1 bedroom in luxe building,Private room,Spacious 1 bedroom in luxe building,private room
9782,Loft in Williamsburg Area w/ Roof,Private room,Loft in Williamsburg Area w/ Roof,private room
9783,back room/bunk beds,Private room,back room/bunk beds,private room
10452,Large B&B Style rooms,Private room,Large B&B Style rooms,private room
